SiglaIFES;9.1.2.9   
UNIFEI;79,74
UFMG;72,63
UFPA;71,19
UNIFAP;65,3
UFRGS;63,28
UFRA;61,26
UFOPA;59,83
UFPR;59,64
UFCSPA;59,42
UFPE;59,21
UNIFESP;58,36
UFJF;56,24
UFRJ;56,23
UFES;55,71
UFABC;54,64
UFLA;54,1
UFSCar;53,36
UFU;52,92
UFRN;52,77
UFAL;52,69
UFSJ;52,44
UFSM;52,24
UFF;51,88
UFCG;50,13
UFPI;49,62
UNIFAL;49,26
UFSC;49,1
UFC;48,8
UFOP;48,68
UFGD;48,55
UFMS;47,72
UNIR;47
UFV;46,2
UnB;46,13
UFG;45,94
UFAM;45,15
UFTM;44,66
UFMA;43,9
UFBA;43,47
UFRRJ;42
UFCA;41,85
UFVJM;41,47
UFPB;41,11
UFS;39,24
UFMT;39,22
UFPel;38,29
UTFPR;37,77
UFERSA;36,43
UNIVASF;36,28
;35,55
UFRB;34,93
FURG;34,74
UFT;34,7
UFRPE;34,18
UFAC;34
UFRR;32,7
UNILAB;31,75
UFFS;29,2
UFOB;24,77
UNILA;24,24
UNIPAMPA;23,46
UNIFESSPA;12,44
UFESBA;0,31
